route_id,direction_id,direction,agency_id,agency_name
14,0,South,SC,VTA
14,1,North,SC,VTA
140,0,North,SC,VTA
140,1,South,SC,VTA
16,0,North,SC,VTA
16,1,South,SC,VTA
18,0,North,SC,VTA
18,1,South,SC,VTA
180,0,North,SC,VTA
180,1,South,SC,VTA
181,0,North,SC,VTA
181,1,South,SC,VTA
182,0,South,SC,VTA
182,1,North,SC,VTA
19,0,South,SC,VTA
19,1,North,SC,VTA
200,0,North,SC,VTA
22,0,East,SC,VTA
22,1,West,SC,VTA
23,0,East,SC,VTA
23,1,West,SC,VTA
25,0,East,SC,VTA
25,1,West,SC,VTA
26,0,East,SC,VTA
26,1,West,SC,VTA
27,0,West,SC,VTA
27,1,East,SC,VTA
304,0,South,SC,VTA
304,1,North,SC,VTA
31,0,North,SC,VTA
31,1,South,SC,VTA
32,0,East,SC,VTA
32,1,West,SC,VTA
321,0,East,SC,VTA
321,1,West,SC,VTA
323,0,East,SC,VTA
323,1,West,SC,VTA
46,0,North,SC,VTA
46,1,South,SC,VTA
47,0,North,SC,VTA
47,1,South,SC,VTA
48,0,South,SC,VTA
48,1,North,SC,VTA
49,0,South,SC,VTA
49,1,North,SC,VTA
522,0,West,SC,VTA
522,1,East,SC,VTA
54,0,North,SC,VTA
54,1,South,SC,VTA
57,0,South,SC,VTA
57,1,North,SC,VTA
58,0,South,SC,VTA
58,1,North,SC,VTA
60,0,South,SC,VTA
60,1,North,SC,VTA
61,0,North,SC,VTA
61,1,South,SC,VTA
62,0,North,SC,VTA
62,1,South,SC,VTA
64,0,North,SC,VTA
64,1,South,SC,VTA
65,0,North,SC,VTA
65,1,South,SC,VTA
66,0,South,SC,VTA
66,1,North,SC,VTA
68,0,North,SC,VTA
68,1,South,SC,VTA
70,0,South,SC,VTA
70,1,North,SC,VTA
71,0,North,SC,VTA
