jurs_name,cnty_name,mtc_year,mtc_pda,mtc_tpa,co_vlow_income_dr,co_vlow_income_ndr,co_low_income_dr,co_low_income_ndr,co_mod_income_dr,co_mod_income_ndr,co_above_mod_income,mtc_co_total_units
NEWARK,ALAMEDA,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0
NOVATO,MARIN,2018.0,False,False,0.0,1.0,0.0,1.0,0.0,0.0,5.0,7.0
NOVATO,MARIN,2019.0,False,False,0.0,7.0,0.0,1.0,0.0,0.0,1.0,9.0
OAKLAND,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0
OAKLAND,ALAMEDA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
OAKLAND,ALAMEDA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0
OAKLAND,ALAMEDA,2018.0,True,True,26.0,0.0,13.0,0.0,0.0,1.0,497.0,537.0
OAKLAND,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0
OAKLAND,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
OAKLAND,ALAMEDA,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0
OAKLAND,ALAMEDA,2019.0,True,True,4.0,0.0,0.0,0.0,0.0,0.0,796.0,800.0
OAKLEY,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0
OAKLEY,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0
OAKLEY,CONTRA COSTA,2019.0,True,False,0.0,0.0,74.0,0.0,0.0,0.0,1.0,75.0
ORINDA,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,4.0,36.0,40.0
ORINDA,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,6.0,51.0,57.0
PACIFICA,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
PACIFICA,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
PALO ALTO,SANTA CLARA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
PALO ALTO,SANTA CLARA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PETALUMA,SONOMA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,5.0,101.0,106.0
PETALUMA,SONOMA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
PIEDMONT,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,3.0,0.0,1.0,12.0,16.0
PIEDMONT,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,3.0,0.0,7.0,7.0,17.0
PIEDMONT,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
PINOLE,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
PITTSBURG,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
PITTSBURG,CONTRA COSTA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,2.0,10.0,12.0
PITTSBURG,CONTRA COSTA,2019.0,False,False,23.0,0.0,205.0,0.0,0.0,62.0,29.0,319.0
PITTSBURG,CONTRA COSTA,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0
PITTSBURG,CONTRA COSTA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PLEASANT HILL,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,3.0,9.0,12.0
PLEASANT HILL,CONTRA COSTA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
PLEASANT HILL,CONTRA COSTA,2019.0,False,False,0.0,0.0,19.0,0.0,0.0,4.0,14.0,37.0
PLEASANT HILL,CONTRA COSTA,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
PLEASANTON,ALAMEDA,2018.0,False,False,7.0,0.0,8.0,0.0,8.0,7.0,159.0,189.0
PLEASANTON,ALAMEDA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
PLEASANTON,ALAMEDA,2018.0,True,False,0.0,0.0,4.0,0.0,0.0,0.0,32.0,36.0
PLEASANTON,ALAMEDA,2018.0,True,True,29.0,0.0,0.0,0.0,0.0,0.0,165.0,194.0
PLEASANTON,ALAMEDA,2019.0,False,False,25.0,0.0,28.0,0.0,0.0,1.0,86.0,140.0
PORTOLA VALLEY,SAN MATEO,2018.0,False,False,0.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0
PORTOLA VALLEY,SAN MATEO,2019.0,False,False,0.0,5.0,0.0,0.0,0.0,2.0,1.0,8.0
REDWOOD CITY,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0
REDWOOD CITY,SAN MATEO,2018.0,False,True,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
REDWOOD CITY,SAN MATEO,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0
REDWOOD CITY,SAN MATEO,2019.0,False,False,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0
REDWOOD CITY,SAN MATEO,2019.0,False,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
REDWOOD CITY,SAN MATEO,2019.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
